song,artist,album_release_date,release_year,release_decade,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
It's Not Right but It's Okay (Thunderpuss Remix),Whitney Houston,2006-05-02,2006,00,5OqmLY18KXsZR1aGrXP3ZI,0.735,0.944,8,-4.872,1,0.041,0.01,0.00308,0.048,0.761,129.994,audio_features,spotify:track:5OqmLY18KXsZR1aGrXP3ZI,https://api.spotify.com/v1/tracks/5OqmLY18KXsZR1aGrXP3ZI,https://api.spotify.com/v1/audio-analysis/5OqmLY18KXsZR1aGrXP3ZI,256640,4
So Emotional,Whitney Houston,1987-06-02,1987,80,4l2Edgdj4vla02GCh7YyAv,0.698,0.791,11,-10.012,0,0.0495,0.271,4.74e-05,0.199,0.809,119.081,audio_features,spotify:track:4l2Edgdj4vla02GCh7YyAv,https://api.spotify.com/v1/tracks/4l2Edgdj4vla02GCh7YyAv,https://api.spotify.com/v1/audio-analysis/4l2Edgdj4vla02GCh7YyAv,276667,4
Love Shack,The B-52's,1989-06-23,1989,80,4W4wYHtsrgDiivRASVOINL,0.701,0.803,5,-6.786,0,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,audio_features,spotify:track:4W4wYHtsrgDiivRASVOINL,https://api.spotify.com/v1/tracks/4W4wYHtsrgDiivRASVOINL,https://api.spotify.com/v1/audio-analysis/4W4wYHtsrgDiivRASVOINL,320680,4
Holding Out for a Hero,Bonnie Tyler,1986-05-05,1986,80,5Hyr47BBGpvOfcykSCcaw9,0.616,0.685,9,-15.289,0,0.04,0.0245,1.13e-05,0.0491,0.895,150.055,audio_features,spotify:track:5Hyr47BBGpvOfcykSCcaw9,https://api.spotify.com/v1/tracks/5Hyr47BBGpvOfcykSCcaw9,https://api.spotify.com/v1/audio-analysis/5Hyr47BBGpvOfcykSCcaw9,348333,4
I Wanna Go,Britney Spears,2011-03-28,2011,10,5cCAZS9VhLGEDV4NCfieeg,0.696,0.546,5,-6.55,1,0.0414,0.00379,3.8e-06,0.332,0.787,130.002,audio_features,spotify:track:5cCAZS9VhLGEDV4NCfieeg,https://api.spotify.com/v1/tracks/5cCAZS9VhLGEDV4NCfieeg,https://api.spotify.com/v1/audio-analysis/5cCAZS9VhLGEDV4NCfieeg,210267,4
Woman Up,Meghan Trainor,2017-05-12,2017,10,0QHEIqNKsMoOY5urbzN48u,0.838,0.525,10,-3.562,1,0.0665,0.345,1.92e-06,0.0771,0.884,144.981,audio_features,spotify:track:0QHEIqNKsMoOY5urbzN48u,https://api.spotify.com/v1/tracks/0QHEIqNKsMoOY5urbzN48u,https://api.spotify.com/v1/audio-analysis/0QHEIqNKsMoOY5urbzN48u,134256,4
Music,Madonna,2000-09-19,2000,00,2BcOZ4vOeu2qZowIHrvTYy,0.736,0.802,7,-8.527,1,0.0663,0.00149,0.0876,0.14,0.871,119.854,audio_features,spotify:track:2BcOZ4vOeu2qZowIHrvTYy,https://api.spotify.com/v1/tracks/2BcOZ4vOeu2qZowIHrvTYy,https://api.spotify.com/v1/audio-analysis/2BcOZ4vOeu2qZowIHrvTYy,225973,4
Finally,CeCe Peniston,1992-01-01,1992,90,0uqvSVhGgQTIdj9G51vhvv,0.791,0.658,7,-11.128,1,0.0445,0.00653,0.0,0.0472,0.842,120.066,audio_features,spotify:track:0uqvSVhGgQTIdj9G51vhvv,https://api.spotify.com/v1/tracks/0uqvSVhGgQTIdj9G51vhvv,https://api.spotify.com/v1/audio-analysis/0uqvSVhGgQTIdj9G51vhvv,245000,4
Baby I'm Burnin',Dolly Parton,1978,1978,70,2Asiem9O0YGuvvoAkz8aSq,0.745,0.828,0,-9.576,1,0.046,0.0482,0.438,0.0967,0.971,133.942,audio_features,spotify:track:2Asiem9O0YGuvvoAkz8aSq,https://api.spotify.com/v1/tracks/2Asiem9O0YGuvvoAkz8aSq,https://api.spotify.com/v1/audio-analysis/2Asiem9O0YGuvvoAkz8aSq,156960,4
Greedy,Ariana Grande,2016-05-20,2016,10,2GDpvJZ1lBBrN6iYdfAcXN,0.806,0.851,7,-6.1,1,0.107,0.0358,0.0,0.676,0.96,150.053,audio_features,spotify:track:2GDpvJZ1lBBrN6iYdfAcXN,https://api.spotify.com/v1/tracks/2GDpvJZ1lBBrN6iYdfAcXN,https://api.spotify.com/v1/audio-analysis/2GDpvJZ1lBBrN6iYdfAcXN,137691,4
Ain't No Other Man,Christina Aguilera,2006-08-14,2006,00,7huo2wvrCgRucUsjdSDLQV,0.862,0.742,7,-4.722,1,0.222,0.00376,0.00855,0.103,0.511,127.91,audio_features,spotify:track:7huo2wvrCgRucUsjdSDLQV,https://api.spotify.com/v1/tracks/7huo2wvrCgRucUsjdSDLQV,https://api.spotify.com/v1/audio-analysis/7huo2wvrCgRucUsjdSDLQV,228907,4
Good as Hell,Lizzo,2019-04-17,2019,10,6KgBpzTuTRPebChN0VTyzV,0.682,0.919,0,-3.18,0,0.0875,0.256,0.0,0.442,0.535,95.982,audio_features,spotify:track:6KgBpzTuTRPebChN0VTyzV,https://api.spotify.com/v1/tracks/6KgBpzTuTRPebChN0VTyzV,https://api.spotify.com/v1/audio-analysis/6KgBpzTuTRPebChN0VTyzV,159736,4
Nasty Girl,Vanity 6,2011-05-10,2011,10,4GIsskMpViPkt0uzPJTJSp,0.833,0.628,2,-7.041,1,0.141,0.0949,1.6e-06,0.282,0.645,106.328,audio_features,spotify:track:4GIsskMpViPkt0uzPJTJSp,https://api.spotify.com/v1/tracks/4GIsskMpViPkt0uzPJTJSp,https://api.spotify.com/v1/audio-analysis/4GIsskMpViPkt0uzPJTJSp,286187,4
Call Me Mother,RuPaul,2017-03-24,2017,10,5LCKQ7PXZRIKnBbABb7ed0,0.859,0.828,6,-6.925,0,0.0529,0.0156,0.000828,0.0205,0.36,124.023,audio_features,spotify:track:5LCKQ7PXZRIKnBbABb7ed0,https://api.spotify.com/v1/tracks/5LCKQ7PXZRIKnBbABb7ed0,https://api.spotify.com/v1/audio-analysis/5LCKQ7PXZRIKnBbABb7ed0,201013,4
If,Janet Jackson,1993-05-18,1993,90,29rQJydAlO0uMyWvRIZxQg,0.703,0.7,5,-6.789,1,0.0693,0.302,0.471,0.0718,0.582,97.675,audio_features,spotify:track:29rQJydAlO0uMyWvRIZxQg,https://api.spotify.com/v1/tracks/29rQJydAlO0uMyWvRIZxQg,https://api.spotify.com/v1/audio-analysis/29rQJydAlO0uMyWvRIZxQg,265107,4
Bang Bang,"Jessie J, Ariana Grande, Nicki Minaj",2014-10-14,2014,10,0puf9yIluy9W0vpMEUoAnN,0.706,0.786,0,-3.417,0,0.091,0.26,0.0,0.38,0.751,150.028,audio_features,spotify:track:0puf9yIluy9W0vpMEUoAnN,https://api.spotify.com/v1/tracks/0puf9yIluy9W0vpMEUoAnN,https://api.spotify.com/v1/audio-analysis/0puf9yIluy9W0vpMEUoAnN,199387,4
Nasty,Janet Jackson,1986-02-04,1986,80,07OzC5JlcaDwEkzWmvqp6y,0.839,0.89,1,-11.697,0,0.0628,0.452,0.0224,0.0866,0.575,103.652,audio_features,spotify:track:07OzC5JlcaDwEkzWmvqp6y,https://api.spotify.com/v1/tracks/07OzC5JlcaDwEkzWmvqp6y,https://api.spotify.com/v1/audio-analysis/07OzC5JlcaDwEkzWmvqp6y,243133,4
