song,artist,album_release_date,release_year,release_decade,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,hot,cluster
Rock And A Hard Place,Bailey Zimmerman,2023-01-01,2023,20,1TE8AAk9koG0UJco6ZAUfx,0.582,0.568,1,-7.3,1,0.0275,0.577,0.0,0.105,0.394,121.991,audio_features,spotify:track:4686eQ81DEswHa90bcdlC9,https://api.spotify.com/v1/tracks/4686eQ81DEswHa90bcdlC9,https://api.spotify.com/v1/audio-analysis/4686eQ81DEswHa90bcdlC9,207541,3,Yes,6
Cupid,Fifty Fifty,2023-01-01,2023,20,6mYrhCAGWzTdF8QnKuchXM,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,120.018,audio_features,spotify:track:7FbrGaHYVDmfr7KoLIZnQ7,https://api.spotify.com/v1/tracks/7FbrGaHYVDmfr7KoLIZnQ7,https://api.spotify.com/v1/audio-analysis/7FbrGaHYVDmfr7KoLIZnQ7,174253,4,Yes,5
You Proof,Morgan Wallen,2023-01-01,2023,20,7ANroj1yWw0YEGcLf7HO3Q,0.732,0.839,9,-5.007,1,0.0345,0.265,0.0,0.602,0.629,119.724,audio_features,spotify:track:5W4kiM2cUYBJXKRudNyxjW,https://api.spotify.com/v1/tracks/5W4kiM2cUYBJXKRudNyxjW,https://api.spotify.com/v1/audio-analysis/5W4kiM2cUYBJXKRudNyxjW,157478,4,Yes,1
Eyes Closed,Ed Sheeran,2023-01-01,2023,20,5xl5582IihbEZAnfj0xyso,0.793,0.52,11,-7.457,0,0.0696,0.246,0.0,0.0878,0.309,107.014,audio_features,spotify:track:3p7XQpdt8Dr6oMXSvRZ9bg,https://api.spotify.com/v1/tracks/3p7XQpdt8Dr6oMXSvRZ9bg,https://api.spotify.com/v1/audio-analysis/3p7XQpdt8Dr6oMXSvRZ9bg,194926,4,Yes,9
Players,Coi Leray,2023-01-01,2023,20,2fH13RdhsEIc11X0o9enUX,0.954,0.516,6,-5.817,1,0.16,0.03,7.54e-06,0.0504,0.624,105.001,audio_features,spotify:track:6UN73IYd0hZxLi8wFPMQij,https://api.spotify.com/v1/tracks/6UN73IYd0hZxLi8wFPMQij,https://api.spotify.com/v1/audio-analysis/6UN73IYd0hZxLi8wFPMQij,139560,4,Yes,2
Chemical,Post Malone,2023-01-01,2023,20,5PHPENfE3RVmHGAA2A7Hfx,0.48,0.895,2,-4.872,1,0.0426,0.00183,0.0,0.111,0.356,169.945,audio_features,spotify:track:4qzEjmuz380jeiBJp31oDY,https://api.spotify.com/v1/tracks/4qzEjmuz380jeiBJp31oDY,https://api.spotify.com/v1/audio-analysis/4qzEjmuz380jeiBJp31oDY,184005,4,Yes,3
Something In The Orange,Zach Bryan,2023-01-01,2023,20,3WMj8moIAXJhHsyLaqIIHI,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-06,0.0954,0.148,175.212,audio_features,spotify:track:3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/tracks/3WMj8moIAXJhHsyLaqIIHI,https://api.spotify.com/v1/audio-analysis/3WMj8moIAXJhHsyLaqIIHI,228013,3,Yes,6
As It Was,Harry Styles,2023-01-01,2023,20,1lUNlmwyhsJy6kXmmrO11t,0.509,0.83,9,-4.446,1,0.0742,0.0138,0.00263,0.208,0.83,174.009,audio_features,spotify:track:1lUNlmwyhsJy6kXmmrO11t,https://api.spotify.com/v1/tracks/1lUNlmwyhsJy6kXmmrO11t,https://api.spotify.com/v1/audio-analysis/1lUNlmwyhsJy6kXmmrO11t,159640,4,Yes,3
Thinkin' Bout Me,Morgan Wallen,2023-01-01,2023,20,2rBBhFXtuMoGuwYTSDpAdF,0.656,0.757,3,-5.775,0,0.0308,0.492,0.0,0.117,0.429,139.971,audio_features,spotify:track:0PAcdVzhPO4gq1Iym9ESnK,https://api.spotify.com/v1/tracks/0PAcdVzhPO4gq1Iym9ESnK,https://api.spotify.com/v1/audio-analysis/0PAcdVzhPO4gq1Iym9ESnK,177388,4,Yes,3
Dancin' In The Country,Tyler Hubbard,2023-01-01,2023,20,2KtGiBi5CrX2ERPD2PAS34,0.657,0.871,7,-4.614,1,0.0675,0.0031,0.0,0.102,0.532,114.974,audio_features,spotify:track:2KtGiBi5CrX2ERPD2PAS34,https://api.spotify.com/v1/tracks/2KtGiBi5CrX2ERPD2PAS34,https://api.spotify.com/v1/audio-analysis/2KtGiBi5CrX2ERPD2PAS34,179640,4,Yes,5
I'm Good (Blue),David Guetta & Bebe Rexha,2023-01-01,2023,20,2MV9MRVSXNTIS3ny31cx9c,0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,128.04,audio_features,spotify:track:4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/tracks/4uUG5RXrOk84mYEfFvj3cK,https://api.spotify.com/v1/audio-analysis/4uUG5RXrOk84mYEfFvj3cK,175238,4,Yes,1
One Thing At A Time,Morgan Wallen,2023-01-01,2023,20,6120uJUyg6QDzaAJUosTx5,0.614,0.913,7,-5.126,1,0.0296,0.0042,1.72e-06,0.26,0.92,141.982,audio_features,spotify:track:6KGtAlYvgm4W9PoYabFAYE,https://api.spotify.com/v1/tracks/6KGtAlYvgm4W9PoYabFAYE,https://api.spotify.com/v1/audio-analysis/6KGtAlYvgm4W9PoYabFAYE,206865,4,Yes,5
Thank God,Kane Brown With Katelyn Brown,2023-01-01,2023,20,41v23mPw4Se92JKUGvnkmW,0.738,0.455,3,-8.735,1,0.0352,0.695,0.0,0.107,0.441,99.945,audio_features,spotify:track:1brnLTvarI9D1hLP6z2Ar8,https://api.spotify.com/v1/tracks/1brnLTvarI9D1hLP6z2Ar8,https://api.spotify.com/v1/audio-analysis/1brnLTvarI9D1hLP6z2Ar8,174560,4,Yes,6
Thought You Should Know,Morgan Wallen,2023-01-01,2023,20,3Qu3Zh4WTKhP9GEXo0aDnb,0.53,0.678,6,-6.16,1,0.0278,0.506,6.23e-06,0.138,0.508,140.05,audio_features,spotify:track:3Qu3Zh4WTKhP9GEXo0aDnb,https://api.spotify.com/v1/tracks/3Qu3Zh4WTKhP9GEXo0aDnb,https://api.spotify.com/v1/audio-analysis/3Qu3Zh4WTKhP9GEXo0aDnb,215572,4,Yes,3
Tennessee Orange,Megan Moroney,2023-01-01,2023,20,4yQw7FR9lcvL6RHtegbJBh,0.38,0.488,9,-6.637,1,0.029,0.126,7.23e-06,0.115,0.268,156.031,audio_features,spotify:track:6DLbBlGIOjjEj0dNN25zhZ,https://api.spotify.com/v1/tracks/6DLbBlGIOjjEj0dNN25zhZ,https://api.spotify.com/v1/audio-analysis/6DLbBlGIOjjEj0dNN25zhZ,223120,3,Yes,3
Snooze,SZA,2023-01-01,2023,20,5WzdX4iArSQZELuxI0Oq5Q,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,143.008,audio_features,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/tracks/4iZ4pt7kvcaH6Yo8UoZ4s2,https://api.spotify.com/v1/audio-analysis/4iZ4pt7kvcaH6Yo8UoZ4s2,201800,4,Yes,3
Under The Influence,Chris Brown,2023-01-01,2023,20,5IgjP7X4th6nMNDh4akUHb,0.733,0.69,9,-5.529,0,0.0427,0.0635,1.18e-06,0.105,0.31,116.992,audio_features,spotify:track:5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/tracks/5IgjP7X4th6nMNDh4akUHb,https://api.spotify.com/v1/audio-analysis/5IgjP7X4th6nMNDh4akUHb,184613,4,Yes,9
Princess Diana,Ice Spice & Nicki Minaj,2023-01-01,2023,20,0ZxhtATQ0a6EvQNZ0z6NKV,0.898,0.676,9,-5.196,1,0.187,0.14,0.0,0.101,0.742,147.991,audio_features,spotify:track:0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/tracks/0ZxhtATQ0a6EvQNZ0z6NKV,https://api.spotify.com/v1/audio-analysis/0ZxhtATQ0a6EvQNZ0z6NKV,172125,4,Yes,2
Por Las Noches,Peso Pluma,2023-01-01,2023,20,2VzCjpKvPB1l1tqLndtAQa,0.807,0.595,0,-7.19,1,0.0325,0.31,2.44e-05,0.0735,0.392,92.491,audio_features,spotify:track:2VzCjpKvPB1l1tqLndtAQa,https://api.spotify.com/v1/tracks/2VzCjpKvPB1l1tqLndtAQa,https://api.spotify.com/v1/audio-analysis/2VzCjpKvPB1l1tqLndtAQa,239845,4,Yes,9
Karma,Taylor Swift,2023-01-01,2023,20,23JWyjMJe6snyIqlORwLyH,0.62,0.28,7,-10.467,1,0.0465,0.268,3.7e-06,0.223,0.178,135.581,audio_features,spotify:track:0MwFC8WoPCjq2H3UES2aos,https://api.spotify.com/v1/tracks/0MwFC8WoPCjq2H3UES2aos,https://api.spotify.com/v1/audio-analysis/0MwFC8WoPCjq2H3UES2aos,161541,4,Yes,6
PRC,Peso Pluma X Natanael Cano,2023-01-01,2023,20,,0.784,0.826,7,-6.34,0,0.0538,0.0965,7.09e-05,0.123,0.893,138.078,audio_features,spotify:track:2mpoNBkngUEwnaKoBhZ0vl,https://api.spotify.com/v1/tracks/2mpoNBkngUEwnaKoBhZ0vl,https://api.spotify.com/v1/audio-analysis/2mpoNBkngUEwnaKoBhZ0vl,184066,3,Yes,5
Unholy,Sam Smith & Kim Petras,2023-01-01,2023,20,3nqQXoyQOWXiESFLlDF1hG,0.714,0.472,2,-7.375,1,0.0864,0.013,4.51e-06,0.266,0.238,131.121,audio_features,spotify:track:3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/tracks/3nqQXoyQOWXiESFLlDF1hG,https://api.spotify.com/v1/audio-analysis/3nqQXoyQOWXiESFLlDF1hG,156943,4,Yes,9
Just Wanna Rock,Lil Uzi Vert,2023-01-01,2023,20,4FyesJzVpA39hbYvcseO2d,0.486,0.545,11,-7.924,1,0.0336,0.0652,0.00474,0.0642,0.0385,150.187,audio_features,spotify:track:4FyesJzVpA39hbYvcseO2d,https://api.spotify.com/v1/tracks/4FyesJzVpA39hbYvcseO2d,https://api.spotify.com/v1/audio-analysis/4FyesJzVpA39hbYvcseO2d,123891,4,Yes,9
Next Thing You Know,Jordan Davis,2023-01-01,2023,20,7MF7QAodbGzNYav5ZfIhAY,0.557,0.597,5,-8.296,1,0.048,0.646,0.0,0.0974,0.414,78.526,audio_features,spotify:track:2lNTHWu2I5Tcz9ukWsV5Jj,https://api.spotify.com/v1/tracks/2lNTHWu2I5Tcz9ukWsV5Jj,https://api.spotify.com/v1/audio-analysis/2lNTHWu2I5Tcz9ukWsV5Jj,175238,4,Yes,6
Wild As Her,Corey Kent,2023-01-01,2023,20,4RG7P0CXQ4pe0OeCAHjX5L,0.504,0.736,0,-6.079,1,0.0352,0.00216,0.0,0.129,0.46,148.014,audio_features,spotify:track:4RG7P0CXQ4pe0OeCAHjX5L,https://api.spotify.com/v1/tracks/4RG7P0CXQ4pe0OeCAHjX5L,https://api.spotify.com/v1/audio-analysis/4RG7P0CXQ4pe0OeCAHjX5L,199733,4,Yes,3
Slut Me Out,NLE Choppa,2023-01-01,2023,20,5BmB3OaQyYXCqRyN8iR2Yi,0.938,0.606,6,-6.396,0,0.419,0.117,0.0,0.528,0.706,121.108,audio_features,spotify:track:5BmB3OaQyYXCqRyN8iR2Yi,https://api.spotify.com/v1/tracks/5BmB3OaQyYXCqRyN8iR2Yi,https://api.spotify.com/v1/audio-analysis/5BmB3OaQyYXCqRyN8iR2Yi,123673,4,Yes,2
Spin Bout U,Drake & 21 Savage,2023-01-01,2023,20,31EKf1HRXKA3lD2LOjJJNX,0.773,0.701,7,-6.386,1,0.0512,0.01,0.0,0.163,0.203,129.963,audio_features,spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,https://api.spotify.com/v1/tracks/2ZL7WZcjuYKi1KUDtp4kCC,https://api.spotify.com/v1/audio-analysis/2ZL7WZcjuYKi1KUDtp4kCC,214589,4,Yes,9
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",2023-01-01,2023,20,5LCKQ7PXZRIKnBbABb7ed0,0.526,0.606,5,-5.3,0,0.259,0.152,2.36e-06,0.194,0.492,116.622,audio_features,spotify:track:0vjeOZ3Ft5jvAi9SBFJm1j,https://api.spotify.com/v1/tracks/0vjeOZ3Ft5jvAi9SBFJm1j,https://api.spotify.com/v1/audio-analysis/0vjeOZ3Ft5jvAi9SBFJm1j,182667,4,Yes,2
TQG,Karol G x Shakira,2023-01-01,2023,20,5sFVJ1P7YsgAHcUWkjhhOu,0.72,0.63,4,-3.547,0,0.277,0.673,0.0,0.0936,0.607,179.974,audio_features,spotify:track:0DWdj2oZMBFSzRsi2Cvfzf,https://api.spotify.com/v1/tracks/0DWdj2oZMBFSzRsi2Cvfzf,https://api.spotify.com/v1/audio-analysis/0DWdj2oZMBFSzRsi2Cvfzf,199440,4,Yes,2
AMG,"Gabito Ballesteros, Peso Pluma & Natanael Cano",2023-01-01,2023,20,0qMAJBLMTshMx03CJkJl6O,0.772,0.73,11,-6.657,0,0.0972,0.152,0.000107,0.274,0.786,136.175,audio_features,spotify:track:1lRtH4FszTrwwlK5gTSbXO,https://api.spotify.com/v1/tracks/1lRtH4FszTrwwlK5gTSbXO,https://api.spotify.com/v1/audio-analysis/1lRtH4FszTrwwlK5gTSbXO,174943,3,Yes,5
See You Again,"Tyler, The Creator Featuring Kali Uchis",2023-01-01,2023,20,7KA4W4McWYRpgf0fWsJZWB,0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,78.558,audio_features,spotify:track:7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/tracks/7KA4W4McWYRpgf0fWsJZWB,https://api.spotify.com/v1/audio-analysis/7KA4W4McWYRpgf0fWsJZWB,180387,4,Yes,6
Handle On You,Parker McCollum,2023-01-01,2023,20,6KIS5YIZAyeiFNx1aE1OhY,0.588,0.931,6,-3.925,1,0.0318,0.00411,0.0,0.345,0.625,105.027,audio_features,spotify:track:6Qpfsw8OS5HW5XxgmXYLWS,https://api.spotify.com/v1/tracks/6Qpfsw8OS5HW5XxgmXYLWS,https://api.spotify.com/v1/audio-analysis/6Qpfsw8OS5HW5XxgmXYLWS,219333,4,Yes,1
Rich Flex,Drake & 21 Savage,2023-01-01,2023,20,1bDbXMyjaUIooNwFE9wn0N,0.561,0.52,11,-9.342,0,0.244,0.0503,1.86e-06,0.355,0.424,153.15,audio_features,spotify:track:1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/tracks/1bDbXMyjaUIooNwFE9wn0N,https://api.spotify.com/v1/audio-analysis/1bDbXMyjaUIooNwFE9wn0N,239360,3,Yes,2
Escapism,RAYE Featuring 070 Shake,2023-01-01,2023,20,61qLoMpEncPR7n8Ibf8Bhh,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,96.107,audio_features,spotify:track:5mHdCZtVyb4DcJw8799hZp,https://api.spotify.com/v1/tracks/5mHdCZtVyb4DcJw8799hZp,https://api.spotify.com/v1/audio-analysis/5mHdCZtVyb4DcJw8799hZp,272373,4,Yes,9
Lavender Haze,Taylor Swift,2023-01-01,2023,20,5jQI2r1RdgtuT8S3iG8zFC,0.733,0.436,10,-10.489,1,0.08,0.258,0.000573,0.157,0.0976,96.985,audio_features,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,https://api.spotify.com/v1/tracks/5jQI2r1RdgtuT8S3iG8zFC,https://api.spotify.com/v1/audio-analysis/5jQI2r1RdgtuT8S3iG8zFC,202396,4,Yes,6
Double Fantasy,The Weeknd Featuring Future,2023-01-01,2023,20,015qd1I4v00JIoK7yOUgKC,0.6,0.567,9,-7.269,0,0.033,0.00621,8.73e-06,0.495,0.0951,119.043,audio_features,spotify:track:4VMRsbfZzd3SfQtaJ1Wpwi,https://api.spotify.com/v1/tracks/4VMRsbfZzd3SfQtaJ1Wpwi,https://api.spotify.com/v1/audio-analysis/4VMRsbfZzd3SfQtaJ1Wpwi,268235,4,Yes,9
Love You Anyway,Luke Combs,2023-01-01,2023,20,3qXsX3mYSsD1DmAvc3PE3N,0.532,0.489,4,-7.419,1,0.0311,0.149,0.0,0.237,0.32,139.807,audio_features,spotify:track:3qXsX3mYSsD1DmAvc3PE3N,https://api.spotify.com/v1/tracks/3qXsX3mYSsD1DmAvc3PE3N,https://api.spotify.com/v1/audio-analysis/3qXsX3mYSsD1DmAvc3PE3N,229627,4,Yes,9
Daylight,David Kushner,2023-01-01,2023,20,4yQw7FR9lcvL6RHtegbJBh,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,130.09,audio_features,spotify:track:1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/tracks/1odExI7RdWc4BT515LTAwj,https://api.spotify.com/v1/audio-analysis/1odExI7RdWc4BT515LTAwj,212954,4,Yes,6
Area Codes,Kali,2023-01-01,2023,20,3lcC9CnN7Rpo1ugATzmYjY,0.823,0.388,1,-10.867,1,0.491,0.0187,0.0,0.0876,0.507,154.569,audio_features,spotify:track:7sliFe6W30tPBPh6dvZsIH,https://api.spotify.com/v1/tracks/7sliFe6W30tPBPh6dvZsIH,https://api.spotify.com/v1/audio-analysis/7sliFe6W30tPBPh6dvZsIH,139326,4,Yes,2
Chanel,Becky G & Peso Pluma,2023-01-01,2023,20,26V1bLUk0SBYkLEwl4caPR,0.852,0.675,2,-5.738,1,0.0363,0.397,0.00317,0.0905,0.528,132.005,audio_features,spotify:track:5RcxRGvmYai7kpFSfxe5GY,https://api.spotify.com/v1/tracks/5RcxRGvmYai7kpFSfxe5GY,https://api.spotify.com/v1/audio-analysis/5RcxRGvmYai7kpFSfxe5GY,201993,3,Yes,5
El Azul,Junior H x Peso Pluma,2023-01-01,2023,20,1haJsMtoBhHfvuM7XWuT3W,0.558,0.648,9,-7.081,0,0.055,0.226,7.76e-06,0.0986,0.844,143.876,audio_features,spotify:track:1haJsMtoBhHfvuM7XWuT3W,https://api.spotify.com/v1/tracks/1haJsMtoBhHfvuM7XWuT3W,https://api.spotify.com/v1/audio-analysis/1haJsMtoBhHfvuM7XWuT3W,187226,3,Yes,3
Bebe Dame,Fuerza Regida X Grupo Frontera,2023-01-01,2023,20,0mzsLrUNazBaRfYZfjmpSV,0.537,0.602,7,-4.631,1,0.0458,0.296,0.0,0.0715,0.753,157.437,audio_features,spotify:track:0mzsLrUNazBaRfYZfjmpSV,https://api.spotify.com/v1/tracks/0mzsLrUNazBaRfYZfjmpSV,https://api.spotify.com/v1/audio-analysis/0mzsLrUNazBaRfYZfjmpSV,271862,4,Yes,3
El Gordo Trae El Mando,Chino Pacas,2023-01-01,2023,20,3kf0WdFOalKWBkCCLJo4mA,0.736,0.8,7,-5.38,0,0.0525,0.179,0.0,0.0498,0.961,140.253,audio_features,spotify:track:3kf0WdFOalKWBkCCLJo4mA,https://api.spotify.com/v1/tracks/3kf0WdFOalKWBkCCLJo4mA,https://api.spotify.com/v1/audio-analysis/3kf0WdFOalKWBkCCLJo4mA,112087,3,Yes,5
Go Hard,Lil Baby,2023-01-01,2023,20,6LhB5o2iWjJgNHqock5H3b,0.849,0.581,6,-5.464,0,0.261,0.0178,0.0,0.092,0.274,142.015,audio_features,spotify:track:1IzJxbARcQrOWMZgPw1PNj,https://api.spotify.com/v1/tracks/1IzJxbARcQrOWMZgPw1PNj,https://api.spotify.com/v1/audio-analysis/1IzJxbARcQrOWMZgPw1PNj,217610,4,Yes,2
Nonsense,Sabrina Carpenter,2023-01-01,2023,20,7sJN693sYKEIEMu7fc5VnJ,0.74,0.697,8,-4.912,1,0.034,0.0268,0.0,0.224,0.732,138.992,audio_features,spotify:track:6dgUya35uo964z7GZXM07g,https://api.spotify.com/v1/tracks/6dgUya35uo964z7GZXM07g,https://api.spotify.com/v1/audio-analysis/6dgUya35uo964z7GZXM07g,163648,4,Yes,5
Cowgirls,Morgan Wallen Featuring ERNEST,2023-01-01,2023,20,7fveJ3pk1eSfxBdVkzdXZ0,0.624,0.766,8,-3.805,1,0.0359,0.199,8.62e-06,0.156,0.37,172.08,audio_features,spotify:track:7fveJ3pk1eSfxBdVkzdXZ0,https://api.spotify.com/v1/tracks/7fveJ3pk1eSfxBdVkzdXZ0,https://api.spotify.com/v1/audio-analysis/7fveJ3pk1eSfxBdVkzdXZ0,181621,4,Yes,3
Need A Favor,Jelly Roll,2023-01-01,2023,20,5jUOG0aeAofL5u3UWyrtDO,0.504,0.771,6,-4.231,1,0.0319,0.0123,1.89e-05,0.078,0.555,157.985,audio_features,spotify:track:5jUOG0aeAofL5u3UWyrtDO,https://api.spotify.com/v1/tracks/5jUOG0aeAofL5u3UWyrtDO,https://api.spotify.com/v1/audio-analysis/5jUOG0aeAofL5u3UWyrtDO,197400,4,Yes,3
